sepal_length,sepal_width,petal_length,petal_width,species,id
5.1,3.5,1.4,3.5,setosa,4
4.9,3.0,1.4,3.0,setosa,8
4.7,3.2,1.3,3.2,setosa,12
4.6,3.1,1.5,3.1,setosa,16
5.0,3.6,1.4,3.6,setosa,20
5.4,3.9,1.7,3.9,setosa,24
4.6,3.4,1.4,3.4,setosa,28
5.0,3.4,1.5,3.4,setosa,32
4.4,2.9,1.4,2.9,setosa,36
4.9,3.1,1.5,3.1,setosa,40
5.4,3.7,1.5,3.7,setosa,44
4.8,3.4,1.6,3.4,setosa,48
4.8,3.0,1.4,3.0,setosa,52
4.3,3.0,1.1,3.0,setosa,56
5.8,4.0,1.2,4.0,setosa,60
5.7,4.4,1.5,4.4,setosa,64
5.4,3.9,1.3,3.9,setosa,68
5.1,3.5,1.4,3.5,setosa,72
5.7,3.8,1.7,3.8,setosa,76
5.1,3.8,1.5,3.8,setosa,80
5.4,3.4,1.7,3.4,setosa,84
5.1,3.7,1.5,3.7,setosa,88
4.6,3.6,1.0,3.6,setosa,92
5.1,3.3,1.7,3.3,setosa,96
4.8,3.4,1.9,3.4,setosa,100
5.0,3.0,1.6,3.0,setosa,104
5.0,3.4,1.6,3.4,setosa,108
5.2,3.5,1.5,3.5,setosa,112
5.2,3.4,1.4,3.4,setosa,116
4.7,3.2,1.6,3.2,setosa,120
4.8,3.1,1.6,3.1,setosa,124
5.4,3.4,1.5,3.4,setosa,128
5.2,4.1,1.5,4.1,setosa,132
5.5,4.2,1.4,4.2,setosa,136
4.9,3.1,1.5,3.1,setosa,140
5.0,3.2,1.2,3.2,setosa,144
5.5,3.5,1.3,3.5,setosa,1
4.9,3.1,1.5,3.1,setosa,5
4.4,3.0,1.3,3.0,setosa,9
5.1,3.4,1.5,3.4,setosa,13
5.0,3.5,1.3,3.5,setosa,17
4.5,2.3,1.3,2.3,setosa,21
4.4,3.2,1.3,3.2,setosa,25
5.0,3.5,1.6,3.5,setosa,29
5.1,3.8,1.9,3.8,setosa,33
4.8,3.0,1.4,3.0,setosa,37
5.1,3.8,1.6,3.8,setosa,41
4.6,3.2,1.4,3.2,setosa,45
5.3,3.7,1.5,3.7,setosa,49
5.0,3.3,1.4,3.3,setosa,53
7.0,3.2,4.7,3.2,versicolor,57
6.4,3.2,4.5,3.2,versicolor,61
6.9,3.1,4.9,3.1,versicolor,65
5.5,2.3,4.0,2.3,versicolor,69
6.5,2.8,4.6,2.8,versicolor,73
5.7,2.8,4.5,2.8,versicolor,77
6.3,3.3,4.7,3.3,versicolor,81
4.9,2.4,3.3,2.4,versicolor,85
6.6,2.9,4.6,2.9,versicolor,89
5.2,2.7,3.9,2.7,versicolor,93
5.0,2.0,3.5,2.0,versicolor,97
5.9,3.0,4.2,3.0,versicolor,101
6.0,2.2,4.0,2.2,versicolor,105
6.1,2.9,4.7,2.9,versicolor,109
5.6,2.9,3.6,2.9,versicolor,113
6.7,3.1,4.4,3.1,versicolor,117
5.6,3.0,4.5,3.0,versicolor,121
5.8,2.7,4.1,2.7,versicolor,125
6.2,2.2,4.5,2.2,versicolor,129
5.6,2.5,3.9,2.5,versicolor,133
5.9,3.2,4.8,3.2,versicolor,137
6.1,2.8,4.0,2.8,versicolor,141
6.3,2.5,4.9,2.5,versicolor,145
6.1,2.8,4.7,2.8,versicolor,149
6.4,2.9,4.3,2.9,versicolor,2
6.6,3.0,4.4,3.0,versicolor,6
6.8,2.8,4.8,2.8,versicolor,10
6.7,3.0,5.0,3.0,versicolor,14
6.0,2.9,4.5,2.9,versicolor,18
5.7,2.6,3.5,2.6,versicolor,22
5.5,2.4,3.8,2.4,versicolor,26
5.5,2.4,3.7,2.4,versicolor,30
5.8,2.7,3.9,2.7,versicolor,34
6.0,2.7,5.1,2.7,versicolor,38
5.4,3.0,4.5,3.0,versicolor,42
6.0,3.4,4.5,3.4,versicolor,46
6.7,3.1,4.7,3.1,versicolor,50
6.3,2.3,4.4,2.3,versicolor,54
5.6,3.0,4.1,3.0,versicolor,58
5.5,2.5,4.0,2.5,versicolor,62
5.5,2.6,4.4,2.6,versicolor,66
6.1,3.0,4.6,3.0,versicolor,70
5.8,2.6,4.0,2.6,versicolor,74
5.0,2.3,3.3,2.3,versicolor,78
5.6,2.7,4.2,2.7,versicolor,82
5.7,3.0,4.2,3.0,versicolor,86
5.7,2.9,4.2,2.9,versicolor,90
6.2,2.9,4.3,2.9,versicolor,94
5.1,2.5,3.0,2.5,versicolor,98
5.7,2.8,4.1,2.8,versicolor,102
6.3,3.3,6.0,3.3,virginica,106
5.8,2.7,5.1,2.7,virginica,110
7.1,3.0,5.9,3.0,virginica,114
6.3,2.9,5.6,2.9,virginica,118
6.5,3.0,5.8,3.0,virginica,122
7.6,3.0,6.6,3.0,virginica,126
4.9,2.5,4.5,2.5,virginica,130
7.3,2.9,6.3,2.9,virginica,134
6.7,2.5,5.8,2.5,virginica,138
7.2,3.6,6.1,3.6,virginica,142
6.5,3.2,5.1,3.2,virginica,146
6.4,2.7,5.3,2.7,virginica,150
6.8,3.0,5.5,3.0,virginica,3
5.7,2.5,5.0,2.5,virginica,7
5.8,2.8,5.1,2.8,virginica,11
6.4,3.2,5.3,3.2,virginica,15
6.5,3.0,5.5,3.0,virginica,19
7.7,3.8,6.7,3.8,virginica,23
7.7,2.6,6.9,2.6,virginica,27
6.0,2.2,5.0,2.2,virginica,31
6.9,3.2,5.7,3.2,virginica,35
5.6,2.8,4.9,2.8,virginica,39
7.7,2.8,6.7,2.8,virginica,43
6.3,2.7,4.9,2.7,virginica,47
6.7,3.3,5.7,3.3,virginica,51
7.2,3.2,6.0,3.2,virginica,55
6.2,2.8,4.8,2.8,virginica,59
6.1,3.0,4.9,3.0,virginica,63
6.4,2.8,5.6,2.8,virginica,67
7.2,3.0,5.8,3.0,virginica,71
7.4,2.8,6.1,2.8,virginica,75
7.9,3.8,6.4,3.8,virginica,79
6.4,2.8,5.6,2.8,virginica,83
6.3,2.8,5.1,2.8,virginica,87
6.1,2.6,5.6,2.6,virginica,91
7.7,3.0,6.1,3.0,virginica,95
6.3,3.4,5.6,3.4,virginica,99
6.4,3.1,5.5,3.1,virginica,103
6.0,3.0,4.8,3.0,virginica,107
6.9,3.1,5.4,3.1,virginica,111
6.7,3.1,5.6,3.1,virginica,115
6.9,3.1,5.1,3.1,virginica,119
5.8,2.7,5.1,2.7,virginica,123
6.8,3.2,5.9,3.2,virginica,127
6.7,3.3,5.7,3.3,virginica,131
6.7,3.0,5.2,3.0,virginica,135
6.3,2.5,5.0,2.5,virginica,139
6.5,3.0,5.2,3.0,virginica,143
6.2,3.4,5.4,3.4,virginica,147
5.9,3.0,5.1,3.0,virginica,151
